,event_time,new
344,2019-12-17 00:44:06,2019-12-17 00:44:06
345,2019-12-17 00:44:09,2019-12-17 00:44:09
346,2019-12-17 00:44:55,2019-12-17 00:44:55
347,2019-12-17 00:44:57,2019-12-17 00:44:57
348,2019-12-17 00:45:03,2019-12-17 00:45:03
349,2019-12-17 00:45:05,2019-12-17 00:45:05
350,2019-12-17 00:45:10,2019-12-17 00:45:10
351,2019-12-17 00:45:31,2019-12-17 00:45:31
352,2019-12-17 00:45:48,2019-12-17 00:45:48
353,2019-12-17 00:45:50,2019-12-17 00:45:50
354,2019-12-17 00:46:06,2019-12-17 00:46:06
355,2019-12-17 00:46:09,2019-12-17 00:46:09
356,2019-12-17 00:46:28,2019-12-17 00:46:28
357,2019-12-17 00:46:37,2019-12-17 00:46:37
358,2019-12-17 00:46:49,2019-12-17 00:46:49
359,2019-12-17 00:47:05,2019-12-17 00:47:05
360,2019-12-17 00:47:13,2019-12-17 00:47:13
361,2019-12-17 00:47:40,2019-12-17 00:47:40
362,2019-12-17 00:47:41,2019-12-17 00:47:41
363,2019-12-17 00:47:49,2019-12-17 00:47:49
364,2019-12-17 00:48:00,2019-12-17 00:48:00
365,2019-12-17 00:48:10,2019-12-17 00:48:10
366,2019-12-17 00:48:10,2019-12-17 00:48:11
367,2019-12-17 00:48:16,2019-12-17 00:48:16
368,2019-12-17 00:48:31,2019-12-17 00:48:31
369,2019-12-17 00:48:51,2019-12-17 00:48:51
370,2019-12-17 00:49:23,2019-12-17 00:49:23
371,2019-12-17 00:49:23,2019-12-17 00:49:24
372,2019-12-17 00:49:28,2019-12-17 00:49:28
373,2019-12-17 00:49:30,2019-12-17 00:49:30
374,2019-12-17 00:49:48,2019-12-17 00:49:48
375,2019-12-17 00:50:02,2019-12-17 00:50:02
376,2019-12-17 00:50:04,2019-12-17 00:50:04
377,2019-12-17 00:50:13,2019-12-17 00:50:13
378,2019-12-17 00:50:23,2019-12-17 00:50:23
379,2019-12-17 00:50:37,2019-12-17 00:50:37
380,2019-12-17 00:50:53,2019-12-17 00:50:53
381,2019-12-17 00:50:54,2019-12-17 00:50:54
382,2019-12-17 00:50:54,2019-12-17 00:50:55
383,2019-12-17 00:50:56,2019-12-17 00:50:56
384,2019-12-17 00:50:59,2019-12-17 00:50:59
385,2019-12-17 00:51:00,2019-12-17 00:51:00
386,2019-12-17 00:51:12,2019-12-17 00:51:12
387,2019-12-17 00:51:21,2019-12-17 00:51:21
388,2019-12-17 00:52:15,2019-12-17 00:52:15
389,2019-12-17 00:52:38,2019-12-17 00:52:38
390,2019-12-17 00:52:45,2019-12-17 00:52:45
391,2019-12-17 00:53:09,2019-12-17 00:53:09
392,2019-12-17 00:53:10,2019-12-17 00:53:10
393,2019-12-17 00:53:20,2019-12-17 00:53:20
394,2019-12-17 00:53:27,2019-12-17 00:53:27
395,2019-12-17 00:54:04,2019-12-17 00:54:04
396,2019-12-17 00:54:06,2019-12-17 00:54:06
397,2019-12-17 00:54:10,2019-12-17 00:54:10
398,2019-12-17 00:54:18,2019-12-17 00:54:18
399,2019-12-17 00:55:17,2019-12-17 00:55:17
400,2019-12-17 00:55:20,2019-12-17 00:55:20
